r82411;bz256348;2015-07-03 10:26:19 +0200 (ven., 03 juil. 2015);1 line;GDK : Fix WEOSI-159,Grab a brush and put a (little make-up)
r82389;bz256348;2015-07-02 15:03:42 +0200 (jeu., 02 juil. 2015);1 line;GDK : Fix WEOSI-159, Hide the scars to fade away the shake-up (hide the scars to fade away the...)
r82305;b874563;2015-06-26 14:05:22 +0200 (ven., 26 juin 2015);1 line;"TDX : Why'd you leave the keys ""upon the table""?"
r82114;b874563;2015-06-10 15:45:10 +0200 (mer., 10 juin 2015);1 line;SMP - WEOSI-104: Here you go create another fable
r82012;bz256348;2015-05-28 15:21:45 +0200 (jeu., 28 mai 2015);1 line;GDK : You wanted to Grab a brush and put a little makeup issues SWX-137 SWX-138 and SWX-141
r81925;bz256348;2015-05-21 15:10:14 +0200 (jeu., 21 mai 2015);1 line;GDK : Fix WEOSI-120 You wanted to Hide the scars to fade away the shake-up
r81753;bz256348;2015-05-04 16:21:48 +0200 (lun., 04 mai 2015);1 line;GDK : WEOSI-17 You wanted to Why'd you leave the keys upon the table?
r81728;bz256348;2015-04-29 16:56:59 +0200 (mer., 29 avr. 2015);1 line;GDK : WEOSI-17 You wanted to Why'd you leave the keys upon the table?
r81389;bz256348;2015-03-19 16:02:15 +0100 (jeu., 19 mars 2015);1 line;GDK : WEOSI-12 You wanted to
r81357;bz256975;2015-03-17 16:46:40 +0100 (mar., 17 mars 2015);1 line;PLC : I don't think you trust In my self-righteous suicide
r81321;bz256348;2015-03-12 16:47:58 +0100 (jeu., 12 mars 2015);1 line;GDK : I cry when angels deserve to die
r81316;bz256348;2015-03-12 11:01:05 +0100 (jeu., 12 mars 2015);1 line;GDK : Fix SWX-779 Wake up (wake up) Grab a brush and put a little make-up
r80933;bz256348;2015-01-30 11:14:13 +0100 (ven., 30 janv. 2015);1 line;GDK : SWX-732 Hide the scars to fade away the shake-up (hide the scars to fade away the...)
r80929;bz256348;2015-01-29 16:15:43 +0100 (jeu., 29 janv. 2015);1 line;GDK : SWX-732 Why'd you leave the keys upon the table?
r80911;bz256348;2015-01-27 16:50:05 +0100 (mar., 27 janv. 2015);1 line;GDK : Fix SWX-779 Instanciate the repere model
r80802;bz256348;2015-01-20 14:02:57 +0100 (mar., 20 janv. 2015);1 line;GDK : SWX-684 Here you go create + another fable
r80796;bz256348;2015-01-20 11:27:48 +0100 (mar., 20 janv. 2015);1 line;GDK : SWX-684 You wanted to Grab a brush and put a little make-up
r80794;bz256348;2015-01-20 10:29:08 +0100 (mar., 20 janv. 2015);1 line;GDK : SWX-684 You wanted to Grab a brush and put a little make-up
r80787;b874563;2015-01-19 16:52:16 +0100 (lun., 19 janv. 2015);1 line;SMP - SWX-720 : You wanted to Hide the scars to fade away the shake-up
r80557;bz256348;2014-12-18 16:52:11 +0100 (jeu., 18 déc. 2014);1 line;GDK : Fix SWX-727 You wanted to Why'd you leave the keys upon the table?
r80554;bz256348;2014-12-18 16:08:47 +0100 (jeu., 18 déc. 2014);1 line;GDK : Fix SWX-740
r80374;bz256975;2014-12-09 15:06:53 +0100 (mar., 09 déc. 2014);1 line;SWX-479 : You wanted to = I don't think you trust
r80294;bz256348;2014-12-04 11:32:15 +0100 (jeu., 04 déc. 2014);1 line;GDK : SWX-760 In my self-righteous suicide I cry when angels deserve to die
r80243;bz256348;2014-12-01 13:54:50 +0100 (lun., 01 déc. 2014);1 line;GDK : SWX-756 In my self-righteous suicide
r80202;bz256348;2014-11-27 15:02:04 +0100 (jeu., 27 nov. 2014);1 line;GDK : Fix SWX-772
r80056;bz256348;2014-11-20 14:43:04 +0100 (jeu., 20 nov. 2014);1 line;GDK : SWX-756 I cry when angels deserve to die
r79940;bz256348;2014-11-06 11:43:00 +0100 (jeu., 06 nov. 2014);1 line;GDK : Fix SWX-572
r79634;b204398;2014-10-16 14:53:54 +0200 (jeu., 16 oct. 2014);1 line;Father, father, father, father.
r79624;bz256348;2014-10-16 11:09:19 +0200 (jeu., 16 oct. 2014);1 line;GDK : Fix SWX-733 Father, into your hands I commend my spirit
r79605;bz256348;2014-10-15 09:42:41 +0200 (mer., 15 oct. 2014);1 line;GDK : Fix SWX-736, Father, into your hands Why have you forsaken me?
r79562;bz256348;2014-10-09 08:49:03 +0200 (jeu., 09 oct. 2014);1 line;GDK : SWX-612 In your eyes forsaken me (In your thoughts forsaken me)
r79272;bz256348;2014-09-09 11:12:26 +0200 (mar., 09 sept. 2014);1 line;GDK : fix SWX-704 In your heart forsaken me, oh
r79099;bz256975;2014-08-25 14:18:25 +0200 (lun., 25 août 2014);1 line;"PLC, SWX-496 : Trust in my self-righteous suicide (Oubli d'un ""-"")"
r79093;b583412;2014-08-22 16:29:15 +0200 (ven., 22 août 2014);2 lines;ABT, SWX-732 : I cry when angels deserve to die
r79032;bz256348;2014-07-29 16:10:27 +0200 (mar., 29 juil. 2014);1 line;GDK : SWX-732 In my self-righteous suicide I cry when angels deserve to die 
r79020;bz256348;2014-07-28 15:32:12 +0200 (lun., 28 juil. 2014);1 line;GDK : fix SWX-729 I've exposed your lies, baby The underneath is no big surprise 
r78925;bz256975;2014-07-16 15:32:36 +0200 (mer., 16 juil. 2014);1 line;PLC, SWX-266 : Now it's time for changing 
r78718;bz256348;2014-06-30 11:38:18 +0200 (lun., 30 juin 2014);1 line;GDK : Fix And cleansing everything  SWX-707
r78690;bz256348;2014-06-27 09:58:01 +0200 (ven., 27 juin 2014);1 line;GDK : Fix To forget your love My plug in baby for SWX-707
r78674;bz256348;2014-06-26 11:22:10 +0200 (jeu., 26 juin 2014);1 line;GDK : fix SWX-707
r78673;bz256348;2014-06-26 11:20:27 +0200 (jeu., 26 juin 2014);1 line;GDK : fix SWX-580
r78672;bz256348;2014-06-26 11:19:16 +0200 (jeu., 26 juin 2014);1 line;GDK : fix SWX-572 
r78087;bz256348;2014-04-22 15:57:05 +0200 (mar., 22 avr. 2014);2 lines;SWX-671 : Crucifies my enemies When I'm tired of giving GDK
r78083;bz256348;2014-04-22 15:20:41 +0200 (mar., 22 avr. 2014);;
r78069;bz256348;2014-04-22 11:14:39 +0200 (mar., 22 avr. 2014);2 lines;Fix SWX-671 : In unbroken virgin realities Is tired of living GDK
